name,lat,lng,label,iron_oxide_index,ferrous_mineral_index,swir_b11_reflectance,swir_b12_reflectance,ndvi,elevation_m,slope_deg,dist_to_fault_km,temp_c,rainfall_mm,soil_moisture,data_source_live
bg_409,21.54902,80.36189,0,0.2967,0.2371,0.1609,0.2085,0.3845,414.8,5.5,36.324,26.26,9.4,0.56,True
bg_289,21.62188,80.18412,0,0.3182,0.235,0.1822,0.2181,0.3884,342.1,2.7,23.111,27.04,9.66,0.55,True
bg_349,20.66352,79.46086,0,0.2662,0.2312,0.1924,0.2157,0.4841,243.6,1.6,38.643,27.75,9.01,0.57,True
bg_119,22.25494,78.90569,0,0.3226,0.243,0.1715,0.2273,0.4286,649.4,8.6,86.592,25.06,9.84,0.55,True
bg_112,22.18975,79.2966,0,0.3074,0.2075,0.1377,0.2178,0.4501,557.7,6.6,42.685,25.76,9.21,0.57,True
bg_175,20.6627,79.0593,0,0.2963,0.2559,0.1669,0.203,0.4772,274.2,2.1,47.861,27.91,7.53,0.53,True
bg_376,20.54014,80.66828,0,0.3184,0.2437,0.1929,0.219,0.4986,343.9,3.9,140.142,26.4,10.08,0.54,True
bg_283,21.84315,78.81468,0,0.3251,0.2634,0.169,0.1902,0.4104,637.8,7.8,61.771,25.39,8.91,0.56,True
bg_184,21.25252,78.5299,0,0.2928,0.2192,0.1849,0.2068,0.4334,454.8,6.1,56.173,26.8,7.89,0.55,True
Linga_Deposit_ext_5,21.96464,78.87784,1,0.2954,0.2031,0.1651,0.2151,0.4791,637.8,7.6,71.399,25.39,8.91,0.56,True
bg_111,21.13795,80.61567,0,0.2585,0.2225,0.1508,0.2146,0.4671,349.6,2.9,88.557,26.51,9.7,0.54,True
bg_434,20.80873,80.45634,0,0.304,0.213,0.1839,0.2116,0.441,349.6,4.1,103.861,26.51,9.7,0.54,True
bg_52,21.31791,80.25365,0,0.3107,0.2292,0.1893,0.2264,0.5491,342.1,3.7,57.279,27.04,9.66,0.55,True
Sandur_Mine_ext_3,15.08312,76.55694,1,0.2924,0.2586,0.1683,0.2118,0.4372,591.2,7.3,724.794,26.94,3.04,0.51,True
Sausar_South,21.65,78.78,1,0.2935,0.2263,0.1731,0.2313,0.4556,454.8,5.5,45.075,26.8,7.89,0.55,True
bg_437,20.60365,80.42513,0,0.3137,0.2084,0.1812,0.2316,0.4988,343.9,2.6,114.837,26.4,10.08,0.54,True
bg_207,22.43976,79.62109,0,0.3021,0.2191,0.1698,0.1951,0.4882,608.5,7.9,31.734,25.23,9.62,0.57,True
Linga_Deposit_ext_1,21.92209,78.90123,1,0.3078,0.2244,0.1748,0.2019,0.4229,637.8,8.4,66.047,25.39,8.91,0.56,True
Bharweli_Mine_ext_3,21.82895,80.24988,1,0.6427,0.5225,0.3934,0.4628,0.4204,469.5,11.7,3.625,26.16,9.74,0.56,True
Barabil_Mine_ext_1,22.13126,85.38457,1,0.2847,0.2315,0.1747,0.1974,0.44,409.3,3.8,540.429,24.96,9.62,0.62,True
bg_141,22.29105,78.93858,0,0.299,0.2092,0.1668,0.2263,0.4023,649.4,8.2,83.573,25.06,9.84,0.55,True
bg_319,21.1575,78.7773,0,0.3024,0.198,0.1939,0.2457,0.4416,337.0,4.2,33.962,27.44,7.58,0.52,True
Sukli_Deposit_ext_5,21.71558,79.83643,1,0.297,0.1987,0.2048,0.2013,0.3982,342.1,4.0,41.25,27.04,9.66,0.55,True
bg_408,20.66047,80.48289,0,0.301,0.234,0.1529,0.2229,0.4788,343.9,2.8,115.682,26.4,10.08,0.54,True
Miragpur_Deposit,21.68,79.8,1,0.2787,0.1975,0.1677,0.1828,0.4057,342.1,3.6,44.952,27.04,9.66,0.55,True
Linga_Deposit_ext_4,21.9359,78.8942,1,0.3236,0.2361,0.1478,0.1784,0.4242,637.8,8.2,67.747,25.39,8.91,0.56,True
bg_118,21.75789,78.82397,0,0.2864,0.2437,0.177,0.2093,0.4723,637.8,7.9,52.715,25.39,8.91,0.56,True
bg_11,21.50303,80.43621,0,0.2791,0.2428,0.1543,0.2207,0.487,414.8,4.7,44.188,26.26,9.4,0.56,True
bg_90,20.64114,79.4755,0,0.2667,0.2121,0.1698,0.2277,0.4302,243.6,1.4,41.542,27.75,9.01,0.57,True
Sausar_South_ext_5,21.65179,78.77094,1,0.2934,0.1789,0.1869,0.2204,0.4413,454.8,6.0,45.855,26.8,7.89,0.55,True
bg_280,21.73626,79.33024,0,0.2876,0.2363,0.1895,0.2378,0.4097,371.2,5.0,34.07,27.04,8.83,0.56,True
bg_396,21.21219,80.37642,0,0.3084,0.2186,0.1753,0.1933,0.5135,349.6,3.5,71.631,26.51,9.7,0.54,True
bg_189,22.31271,79.841,0,0.3072,0.1813,0.1525,0.2269,0.4213,508.3,4.9,24.631,25.74,9.89,0.58,True
bg_205,22.42645,78.82226,0,0.3295,0.1861,0.168,0.2339,0.4464,649.4,8.6,99.697,25.06,9.84,0.55,True
bg_164,21.20183,78.56232,0,0.3356,0.2142,0.1786,0.222,0.4479,337.0,4.1,53.827,27.44,7.58,0.52,True
bg_56,21.59845,78.75445,0,0.2999,0.2578,0.1591,0.1943,0.4057,454.8,4.6,42.702,26.8,7.89,0.55,True
Sausar_South_ext_3,21.66056,78.81943,1,0.3275,0.1737,0.1823,0.2189,0.4573,454.8,6.3,43.504,26.8,7.89,0.55,True
bg_115,21.06371,79.5401,0,0.2933,0.2116,0.1757,0.2135,0.4481,282.6,1.3,23.67,27.54,8.94,0.56,True
bg_362,21.42507,79.38395,0,0.4559,0.343,0.3066,0.3549,0.4303,371.2,7.6,8.684,27.04,8.83,0.56,True
bg_134,22.00174,79.65505,0,0.2954,0.2225,0.1707,0.2073,0.4174,557.7,7.0,17.784,25.76,9.21,0.57,True
Ramtek_Mine_ext_2,21.40108,79.37434,1,0.574,0.4396,0.3529,0.4128,0.3802,371.2,8.2,6.47,27.04,8.83,0.56,True
bg_342,20.91267,80.26453,0,0.254,0.2228,0.17,0.2035,0.4299,291.9,2.5,79.695,27.2,9.85,0.56,True
Sitapatore_Mine_ext_3,21.5171,79.72727,1,0.3184,0.2231,0.1776,0.1771,0.4469,342.1,3.8,25.228,27.04,9.66,0.55,True
bg_257,21.26178,80.65471,0,0.2826,0.2046,0.1686,0.2034,0.3795,414.8,4.5,75.665,26.26,9.4,0.56,True
bg_375,21.25457,79.03284,0,0.4914,0.376,0.2852,0.3493,0.3972,454.8,8.7,8.379,26.8,7.89,0.55,True
Keonjhar_Deposit_ext_2,21.62861,85.58614,1,0.3275,0.2477,0.1589,0.2095,0.448,341.5,3.2,563.336,25.34,9.52,0.61,True
Gowari_Wadhona_ext_4,21.55773,78.99623,1,0.2776,0.2092,0.1697,0.2244,0.439,454.8,5.0,25.554,26.8,7.89,0.55,True
bg_209,22.28229,80.33967,0,0.3029,0.2337,0.1669,0.2026,0.4595,602.7,8.4,43.93,25.09,9.48,0.58,True
bg_371,21.39482,79.57502,0,0.2882,0.2372,0.1887,0.2513,0.4783,371.2,5.0,14.133,27.04,8.83,0.56,True
Chikla_Mine_ext_3,21.31856,79.67676,1,0.6585,0.5288,0.382,0.4847,0.3685,371.2,11.1,2.776,27.04,8.83,0.56,True
bg_444,21.00928,80.50524,0,0.3312,0.2411,0.1674,0.215,0.4334,349.6,3.1,97.589,26.51,9.7,0.54,True
bg_267,22.49944,80.2731,0,0.2928,0.1937,0.1929,0.2374,0.4807,508.3,6.3,68.894,25.74,9.89,0.58,True
Balaghat_Mine,21.83,80.19,1,0.7389,0.5866,0.4678,0.5533,0.3585,469.5,14.2,0.0,26.16,9.74,0.56,True
Bharweli_Mine_ext_5,21.84366,80.23458,1,0.6404,0.551,0.4096,0.472,0.3958,469.5,13.0,3.354,26.16,9.74,0.56,True
bg_261,21.43739,79.10321,0,0.3669,0.2534,0.1853,0.2358,0.4381,371.2,5.4,14.427,27.04,8.83,0.56,True
Tirodi_Mine_ext_4,22.16376,79.64473,1,0.6264,0.5086,0.3971,0.4537,0.4127,557.7,12.8,3.937,25.76,9.21,0.57,True
bg_268,22.49327,78.74518,0,0.2732,0.256,0.1684,0.2117,0.4103,649.4,8.0,110.162,25.06,9.84,0.55,True
bg_260,22.17666,78.57172,0,0.2841,0.2331,0.1784,0.2192,0.4487,637.8,7.0,106.863,25.39,8.91,0.56,True
bg_63,21.72344,80.16118,0,0.3778,0.3065,0.2226,0.2679,0.4189,342.1,5.1,12.253,27.04,9.66,0.55,True
Gowari_Wadhona_ext_5,21.58939,79.02535,1,0.329,0.2253,0.1729,0.1888,0.3835,454.8,6.1,28.797,26.8,7.89,0.55,True
bg_66,21.21195,80.09608,0,0.3034,0.2268,0.1358,0.2136,0.4576,291.9,3.1,49.382,27.2,9.85,0.56,True
bg_28,22.1452,80.2195,0,0.2991,0.2356,0.1553,0.212,0.459,469.5,5.3,31.975,26.16,9.74,0.56,True
bg_85,21.75172,80.62175,0,0.2917,0.2001,0.1715,0.2123,0.4211,547.2,7.4,22.785,25.56,9.39,0.55,True
bg_441,22.47992,80.23125,0,0.3055,0.2018,0.142,0.2181,0.4529,508.3,6.2,68.885,25.74,9.89,0.58,True
bg_33,20.93164,79.75017,0,0.336,0.245,0.2046,0.2146,0.4258,291.9,2.4,42.095,27.2,9.85,0.56,True
bg_161,21.59906,78.85915,0,0.3331,0.2229,0.1748,0.2046,0.5017,454.8,5.1,35.378,26.8,7.89,0.55,True
bg_65,20.99546,79.97464,0,0.295,0.2197,0.1686,0.2074,0.4346,291.9,2.9,48.605,27.2,9.85,0.56,True
Tirodi_Mine,22.16,79.68,1,0.7809,0.571,0.4718,0.5512,0.3553,557.7,14.7,0.0,25.76,9.21,0.57,True
bg_133,21.35799,80.79281,0,0.306,0.2313,0.1607,0.2137,0.4459,414.8,3.5,70.345,26.26,9.4,0.56,True
bg_384,22.07834,80.29304,0,0.2917,0.2289,0.1936,0.1979,0.4389,469.5,5.4,24.512,26.16,9.74,0.56,True
bg_317,22.46007,79.87142,0,0.3262,0.2626,0.177,0.2271,0.4573,508.3,6.1,39.508,25.74,9.89,0.58,True
bg_73,21.90732,79.42196,0,0.3153,0.2174,0.1641,0.1992,0.4982,557.7,6.3,40.088,25.76,9.21,0.57,True
bg_106,20.70156,80.34656,0,0.2874,0.2463,0.167,0.2138,0.4225,343.9,3.8,101.095,26.4,10.08,0.54,True
Ukwa_Mine_ext_3,21.9202,80.522,1,0.7071,0.5928,0.4371,0.5143,0.3454,547.2,14.4,1.11,25.56,9.39,0.55,True
bg_440,20.62675,79.92281,0,0.3098,0.248,0.2086,0.2225,0.4288,264.0,1.4,76.229,27.26,10.04,0.57,True
Beldongri_Mine,21.16,79.18,1,0.7399,0.6106,0.4738,0.5238,0.3309,282.6,12.4,0.0,27.54,8.94,0.56,True
bg_235,22.47242,79.87405,0,0.3278,0.2212,0.1896,0.2463,0.4753,508.3,5.9,40.824,25.74,9.89,0.58,True
Kandri_Mine_ext_4,21.38157,79.31462,1,0.757,0.5871,0.4887,0.5073,0.3743,371.2,12.2,0.622,27.04,8.83,0.56,True
Miragpur_Deposit_ext_3,21.68528,79.78714,1,0.3165,0.2033,0.1887,0.2262,0.4761,342.1,3.7,45.034,27.04,9.66,0.55,True
bg_298,20.77274,80.67134,0,0.323,0.222,0.1664,0.2141,0.4571,349.6,4.6,126.599,26.51,9.7,0.54,True
bg_129,22.05283,80.71046,0,0.3108,0.258,0.1646,0.1863,0.416,547.2,6.1,25.156,25.56,9.39,0.55,True
bg_386,20.67384,78.63304,0,0.2834,0.2144,0.1639,0.2112,0.4264,274.2,1.7,81.229,27.91,7.53,0.53,True
bg_449,21.32368,80.21007,0,0.3204,0.2181,0.1648,0.2215,0.4465,342.1,3.2,56.246,27.04,9.66,0.55,True
bg_374,21.03849,80.77969,0,0.269,0.2244,0.1565,0.2221,0.4377,349.6,3.6,103.07,26.51,9.7,0.54,True
bg_264,20.61275,79.64164,0,0.3192,0.2016,0.1539,0.2368,0.4864,243.6,2.0,53.615,27.75,9.01,0.57,True
bg_281,21.21633,78.71064,0,0.313,0.2487,0.1446,0.2096,0.4249,337.0,3.8,37.627,27.44,7.58,0.52,True
bg_214,22.43861,79.957,0,0.3352,0.2407,0.1504,0.1704,0.4607,508.3,5.8,43.609,25.74,9.89,0.58,True
bg_249,22.23213,79.39538,0,0.2968,0.1832,0.2024,0.199,0.4384,557.7,7.0,32.592,25.76,9.21,0.57,True
bg_227,21.74027,79.77461,0,0.287,0.2291,0.1806,0.2094,0.4621,342.1,4.0,47.172,27.04,9.66,0.55,True
bg_370,20.71434,80.67288,0,0.2861,0.2196,0.1565,0.218,0.4648,343.9,3.5,129.871,26.4,10.08,0.54,True
bg_297,20.92593,80.77164,0,0.3005,0.22,0.181,0.2337,0.4686,349.6,2.4,114.899,26.51,9.7,0.54,True
Ramtek_Mine_ext_3,21.39654,79.33543,1,0.6847,0.5252,0.4103,0.4989,0.4002,371.2,11.9,2.511,27.04,8.83,0.56,True
bg_168,21.73644,78.54533,0,0.336,0.2311,0.1755,0.2111,0.4728,454.8,4.6,70.211,26.8,7.89,0.55,True
bg_35,20.67069,79.93575,0,0.2781,0.2324,0.1868,0.2402,0.4547,264.0,1.8,75.028,27.26,10.04,0.57,True
bg_69,20.73215,79.2951,0,0.3003,0.2165,0.1603,0.2163,0.4088,243.6,2.2,29.052,27.75,9.01,0.57,True
bg_406,20.84675,80.54412,0,0.2958,0.1844,0.1887,0.2308,0.4293,349.6,3.1,110.282,26.51,9.7,0.54,True
bg_29,21.22038,79.65626,0,0.4975,0.3655,0.2877,0.3619,0.4151,282.6,6.3,8.848,27.54,8.94,0.56,True
bg_4,21.21898,78.78588,0,0.344,0.2181,0.1921,0.238,0.461,337.0,3.8,29.768,27.44,7.58,0.52,True
bg_292,20.76803,80.09224,0,0.3091,0.2001,0.1493,0.2039,0.4559,291.9,2.3,76.083,27.2,9.85,0.56,True
bg_383,21.8582,78.92881,0,0.3115,0.2255,0.1658,0.2219,0.4602,637.8,8.0,58.531,25.39,8.91,0.56,True
bg_128,21.24404,78.90948,0,0.3143,0.2526,0.1808,0.2227,0.3999,337.0,3.6,16.432,27.44,7.58,0.52,True
bg_256,21.68826,80.02644,0,0.2858,0.2133,0.185,0.2261,0.4646,342.1,4.1,24.024,27.04,9.66,0.55,True
bg_239,22.12759,80.60315,0,0.2986,0.2316,0.1882,0.2112,0.4583,547.2,6.8,23.795,25.56,9.39,0.55,True
bg_271,22.38953,79.63963,0,0.2817,0.1999,0.1973,0.2188,0.4493,608.5,7.9,25.869,25.23,9.62,0.57,True
bg_202,21.07142,79.17727,0,0.4348,0.3501,0.2524,0.3375,0.4085,282.6,5.0,9.837,27.54,8.94,0.56,True
bg_401,20.80572,79.8342,0,0.3263,0.2393,0.1531,0.2438,0.4349,291.9,3.5,58.173,27.2,9.85,0.56,True
bg_282,20.72712,80.60982,0,0.3202,0.2213,0.1772,0.212,0.4487,343.9,4.4,123.122,26.4,10.08,0.54,True
bg_155,22.00475,80.67607,0,0.2791,0.1756,0.1597,0.2052,0.4647,547.2,7.9,19.208,25.56,9.39,0.55,True
bg_21,20.57188,80.51756,0,0.3027,0.1651,0.1846,0.2321,0.4213,343.9,3.4,124.872,26.4,10.08,0.54,True
bg_204,20.94719,80.25629,0,0.3212,0.2369,0.165,0.2165,0.4605,291.9,2.3,76.906,27.2,9.85,0.56,True
bg_286,21.54033,78.92581,0,0.3338,0.232,0.2032,0.2316,0.4124,454.8,5.7,26.054,26.8,7.89,0.55,True
bg_346,20.57862,80.50946,0,0.2703,0.203,0.1974,0.2394,0.47,343.9,3.5,123.703,26.4,10.08,0.54,True
Tirodi_Mine_ext_1,22.14917,79.71334,1,0.6307,0.5149,0.3945,0.4489,0.3601,469.5,13.4,3.891,26.16,9.74,0.56,True
bg_299,20.52909,78.59068,0,0.2939,0.2255,0.1586,0.2051,0.4258,274.2,2.2,95.83,27.91,7.53,0.53,True
Beldongri_Mine_ext_2,21.14736,79.1741,1,0.7326,0.5355,0.4378,0.49,0.3504,282.6,10.5,1.548,27.54,8.94,0.56,True
bg_330,22.29358,80.53775,0,0.3032,0.1964,0.1694,0.2098,0.3923,602.7,6.8,40.405,25.09,9.48,0.58,True
bg_176,20.66968,80.16121,0,0.3054,0.2086,0.1709,0.2224,0.4235,264.0,1.4,89.389,27.26,10.04,0.57,True
bg_335,20.58174,78.54892,0,0.3082,0.2316,0.1613,0.2191,0.4523,274.2,2.5,95.01,27.91,7.53,0.53,True
bg_233,20.65547,80.57004,0,0.3228,0.1863,0.1439,0.2091,0.4864,343.9,3.2,123.783,26.4,10.08,0.54,True
bg_345,21.88079,79.94326,0,0.3195,0.2103,0.1628,0.233,0.4568,469.5,4.4,27.962,26.16,9.74,0.56,True
bg_390,21.36332,80.78829,0,0.3397,0.2262,0.1724,0.2018,0.4687,414.8,4.0,69.595,26.26,9.4,0.56,True
bg_89,20.82587,79.89544,0,0.2953,0.2418,0.1846,0.2189,0.459,291.9,1.7,58.76,27.2,9.85,0.56,True
Dongri_Buzurg_ext_1,21.00329,79.34308,1,0.6911,0.5263,0.4709,0.4979,0.3254,282.6,10.5,1.514,27.54,8.94,0.56,True
bg_270,22.03797,80.17483,0,0.3083,0.2087,0.1817,0.2102,0.474,469.5,5.9,21.9,26.16,9.74,0.56,True
bg_186,22.05429,78.97814,0,0.3039,0.2314,0.1865,0.2131,0.4174,637.8,7.4,74.565,25.39,8.91,0.56,True
bg_391,20.75516,78.89996,0,0.3081,0.2348,0.1913,0.2258,0.4287,337.0,3.0,54.641,27.44,7.58,0.52,True
Kandri_Mine,21.38,79.32,1,0.7275,0.6029,0.4763,0.5267,0.3754,371.2,12.8,0.0,27.04,8.83,0.56,True
bg_247,21.33649,79.88725,0,0.2959,0.2158,0.1635,0.2126,0.4182,342.1,3.6,25.548,27.04,9.66,0.55,True
bg_139,22.15291,80.56552,0,0.2838,0.1961,0.1854,0.2176,0.41,547.2,5.9,25.254,25.56,9.39,0.55,True
bg_76,21.48323,78.85271,0,0.3002,0.2329,0.1799,0.1803,0.4226,454.8,4.0,26.011,26.8,7.89,0.55,True
bg_218,21.40908,80.76413,0,0.2912,0.2061,0.1685,0.1964,0.4389,414.8,4.2,63.857,26.26,9.4,0.56,True
bg_215,21.5462,79.09314,0,0.3161,0.2515,0.1676,0.2279,0.436,371.2,3.7,21.027,27.04,8.83,0.56,True
bg_34,21.74578,80.58489,0,0.3234,0.2335,0.1734,0.2383,0.4999,414.8,4.6,21.68,26.26,9.4,0.56,True
bg_6,22.11872,80.65818,0,0.3182,0.2395,0.1583,0.2334,0.4675,547.2,6.0,25.963,25.56,9.39,0.55,True
bg_183,22.00676,80.56157,0,0.4728,0.3409,0.2821,0.3489,0.3235,547.2,8.7,9.69,25.56,9.39,0.55,True
bg_273,20.9947,79.5001,0,0.3093,0.2043,0.1497,0.1853,0.4981,282.6,2.7,17.779,27.54,8.94,0.56,True
bg_54,20.81287,79.28679,0,0.3319,0.2536,0.1664,0.2143,0.4751,282.6,2.2,20.529,27.54,8.94,0.56,True
Chikla_Mine_ext_1,21.30583,79.65307,1,0.7173,0.5583,0.4621,0.5218,0.3696,371.2,12.5,1.005,27.04,8.83,0.56,True
Barabil_Mine_ext_5,22.10476,85.37273,1,0.3172,0.2161,0.1641,0.1948,0.4575,409.3,4.6,539.002,24.96,9.62,0.62,True
bg_420,22.35875,80.0715,0,0.3159,0.2104,0.1658,0.2286,0.5041,508.3,6.6,48.736,25.74,9.89,0.58,True
bg_53,20.84659,80.51656,0,0.2824,0.1907,0.157,0.1972,0.4534,349.6,2.3,107.577,26.51,9.7,0.54,True
bg_156,22.08316,79.35861,0,0.3048,0.1999,0.1814,0.1932,0.3954,557.7,5.7,36.68,25.76,9.21,0.57,True
bg_208,20.58632,80.55747,0,0.351,0.2493,0.1832,0.2066,0.4481,343.9,3.3,127.277,26.4,10.08,0.54,True
Beldongri_Mine_ext_3,21.15294,79.15366,1,0.6883,0.543,0.4084,0.4755,0.4047,282.6,10.2,3.027,27.54,8.94,0.56,True
