name,lat,lng,label
bg_280,21.73626,79.33024,0
bg_396,21.21219,80.37642,0
bg_189,22.31271,79.841,0
bg_205,22.42645,78.82226,0
bg_164,21.20183,78.56232,0
bg_56,21.59845,78.75445,0
Sausar_South_ext_3,21.66056,78.81943,1
bg_115,21.06371,79.5401,0
bg_362,21.42507,79.38395,0
bg_134,22.00174,79.65505,0
Ramtek_Mine_ext_2,21.40108,79.37434,1
bg_342,20.91267,80.26453,0
Sitapatore_Mine_ext_3,21.5171,79.72727,1
bg_257,21.26178,80.65471,0
bg_375,21.25457,79.03284,0
Keonjhar_Deposit_ext_2,21.62861,85.58614,1
Gowari_Wadhona_ext_4,21.55773,78.99623,1
bg_209,22.28229,80.33967,0
bg_371,21.39482,79.57502,0
Chikla_Mine_ext_3,21.31856,79.67676,1
bg_444,21.00928,80.50524,0
bg_267,22.49944,80.2731,0
Balaghat_Mine,21.83,80.19,1
Bharweli_Mine_ext_5,21.84366,80.23458,1
bg_261,21.43739,79.10321,0
Tirodi_Mine_ext_4,22.16376,79.64473,1
bg_268,22.49327,78.74518,0
bg_260,22.17666,78.57172,0
bg_63,21.72344,80.16118,0
Gowari_Wadhona_ext_5,21.58939,79.02535,1
bg_66,21.21195,80.09608,0
bg_28,22.1452,80.2195,0
bg_85,21.75172,80.62175,0
bg_441,22.47992,80.23125,0
bg_33,20.93164,79.75017,0
bg_161,21.59906,78.85915,0
bg_65,20.99546,79.97464,0
Tirodi_Mine,22.16,79.68,1
bg_133,21.35799,80.79281,0
bg_384,22.07834,80.29304,0
bg_317,22.46007,79.87142,0
bg_73,21.90732,79.42196,0
bg_106,20.70156,80.34656,0
Ukwa_Mine_ext_3,21.9202,80.522,1
bg_440,20.62675,79.92281,0
Beldongri_Mine,21.16,79.18,1
bg_235,22.47242,79.87405,0
Kandri_Mine_ext_4,21.38157,79.31462,1
Miragpur_Deposit_ext_3,21.68528,79.78714,1
bg_298,20.77274,80.67134,0
bg_129,22.05283,80.71046,0
bg_386,20.67384,78.63304,0
bg_449,21.32368,80.21007,0
bg_374,21.03849,80.77969,0
bg_264,20.61275,79.64164,0
bg_281,21.21633,78.71064,0
bg_214,22.43861,79.957,0
bg_249,22.23213,79.39538,0
bg_227,21.74027,79.77461,0
bg_370,20.71434,80.67288,0
bg_297,20.92593,80.77164,0
Ramtek_Mine_ext_3,21.39654,79.33543,1
bg_168,21.73644,78.54533,0
bg_35,20.67069,79.93575,0
bg_69,20.73215,79.2951,0
bg_406,20.84675,80.54412,0
bg_29,21.22038,79.65626,0
bg_4,21.21898,78.78588,0
bg_292,20.76803,80.09224,0
bg_383,21.8582,78.92881,0
bg_128,21.24404,78.90948,0
bg_256,21.68826,80.02644,0
bg_239,22.12759,80.60315,0
bg_271,22.38953,79.63963,0
bg_202,21.07142,79.17727,0
bg_401,20.80572,79.8342,0
bg_282,20.72712,80.60982,0
bg_155,22.00475,80.67607,0
bg_21,20.57188,80.51756,0
bg_204,20.94719,80.25629,0
bg_286,21.54033,78.92581,0
bg_346,20.57862,80.50946,0
Tirodi_Mine_ext_1,22.14917,79.71334,1
bg_299,20.52909,78.59068,0
Beldongri_Mine_ext_2,21.14736,79.1741,1
bg_330,22.29358,80.53775,0
bg_176,20.66968,80.16121,0
bg_335,20.58174,78.54892,0
bg_233,20.65547,80.57004,0
bg_345,21.88079,79.94326,0
bg_390,21.36332,80.78829,0
bg_89,20.82587,79.89544,0
Dongri_Buzurg_ext_1,21.00329,79.34308,1
bg_270,22.03797,80.17483,0
bg_186,22.05429,78.97814,0
bg_391,20.75516,78.89996,0
Kandri_Mine,21.38,79.32,1
bg_247,21.33649,79.88725,0
bg_139,22.15291,80.56552,0
bg_76,21.48323,78.85271,0
bg_218,21.40908,80.76413,0
bg_215,21.5462,79.09314,0
bg_34,21.74578,80.58489,0
bg_6,22.11872,80.65818,0
bg_183,22.00676,80.56157,0
bg_273,20.9947,79.5001,0
bg_54,20.81287,79.28679,0
Chikla_Mine_ext_1,21.30583,79.65307,1
Barabil_Mine_ext_5,22.10476,85.37273,1
bg_420,22.35875,80.0715,0
bg_53,20.84659,80.51656,0
bg_156,22.08316,79.35861,0
bg_208,20.58632,80.55747,0
Beldongri_Mine_ext_3,21.15294,79.15366,1
bg_162,21.38306,80.14674,0
Dongri_Buzurg,20.99,79.34,1
Ukwa_Mine_ext_5,21.91919,80.51475,1
bg_432,21.07726,80.33408,0
Ramtek_Mine,21.4,79.33,1
bg_419,21.83729,79.00642,0
bg_170,20.66821,80.33981,0
bg_430,20.72967,79.11417,0
bg_159,21.48884,79.44009,0
bg_352,20.62216,79.04919,0
bg_354,22.1124,79.31563,0
Miragpur_Deposit_ext_4,21.71358,79.80853,1
bg_60,22.40973,80.33378,0
bg_285,22.04464,79.52581,0
Miragpur_Deposit_ext_2,21.66776,79.80418,1
Tirodi_Mine_ext_5,22.13609,79.68354,1
bg_172,20.64553,80.00132,0
bg_196,20.73505,79.85768,0
bg_152,21.08642,78.85705,0
Balaghat_Mine_ext_5,21.82155,80.19977,1
Sandur_Mine_ext_2,15.08385,76.52758,1
Kandri_Mine_ext_3,21.33284,79.33479,1
bg_132,22.21683,78.6963,0
bg_220,21.66863,78.89486,0
bg_324,20.75609,78.65032,0
Ukwa_Mine_ext_4,21.90928,80.52676,1
Gumgaon_Mine,21.33,79.03,1
bg_242,22.32185,79.69351,0
bg_310,22.22473,80.67181,0
Balaghat_Mine_ext_3,21.82579,80.18579,1
bg_254,22.47455,79.80273,0
bg_320,21.7668,78.67699,0
Sitapatore_Mine,21.52,79.72,1
bg_77,21.44694,79.84833,0
bg_217,21.8915,80.42034,0
bg_426,21.14736,80.39677,0
Barabil_Mine_ext_2,22.10072,85.40868,1
bg_417,21.01581,79.64051,0
bg_198,21.99209,79.93554,0
Dongri_Buzurg_ext_5,20.99619,79.30827,1
bg_410,21.32079,80.00706,0
bg_109,21.86601,79.41579,0
bg_404,20.87313,79.11088,0
Dongri_Buzurg_ext_2,20.98792,79.33458,1
Bharweli_Mine_ext_1,21.85166,80.25162,1
bg_61,21.97579,78.84481,0
Gumgaon_Mine_ext_2,21.3566,79.02067,1
Barabil_Mine,22.12,85.4,1
bg_113,20.54654,79.29799,0
Mansar_Mine_ext_1,21.43137,79.24666,1
bg_37,21.56271,80.66161,0
bg_121,22.10696,79.46353,0
bg_421,21.61353,78.6751,0
Sandur_Mine_ext_4,15.06409,76.55277,1
bg_311,22.39904,79.59069,0
Sandur_Mine,15.08,76.55,1
bg_382,21.68718,79.00712,0
bg_84,21.24923,80.1023,0
bg_55,21.00049,80.38889,0
bg_321,20.98029,80.10146,0
bg_187,21.61681,78.56102,0
bg_75,20.69567,80.67875,0
bg_326,20.77765,79.74083,0
Ramtek_Mine_ext_1,21.36546,79.32952,1
bg_425,20.87409,79.86254,0
bg_48,20.5507,79.07153,0
bg_165,20.73413,79.01054,0
bg_334,20.88458,80.50123,0
bg_74,21.44835,79.56261,0
bg_32,22.03999,79.38295,0
bg_294,22.01027,79.07424,0
bg_316,21.41827,78.58512,0
bg_309,21.74417,80.73343,0
bg_174,21.91248,78.72872,0
Keonjhar_Deposit_ext_1,21.61399,85.56532,1
bg_359,21.46905,78.54111,0
Sausar_South_ext_2,21.67525,78.75477,1
bg_252,21.25293,80.15381,0
bg_424,22.03899,79.60535,0
Sandur_Mine_ext_5,15.08105,76.52943,1
bg_219,21.75512,79.70909,0
bg_240,21.86946,79.46317,0
bg_307,22.06731,79.1839,0
bg_361,21.23783,79.48388,0
bg_190,20.72239,79.46928,0
bg_181,22.3945,78.97146,0
bg_236,21.89632,79.88119,0
bg_398,21.71155,79.01478,0
bg_211,22.48593,78.55168,0
Mansar_Mine,21.44,79.25,1
bg_19,20.68796,79.70305,0
bg_137,22.30511,80.22491,0
bg_222,20.59089,78.5423,0
Beldongri_Mine_ext_5,21.16009,79.17578,1
Barabil_Mine_ext_3,22.11598,85.41285,1
bg_422,21.64323,80.45778,0
bg_243,22.14507,78.60802,0
bg_146,21.13863,80.28371,0
bg_397,22.47303,79.01621,0
bg_182,22.472,79.17424,0
bg_30,20.75412,79.03409,0
bg_150,21.76367,79.42176,0
bg_340,20.74127,80.79525,0
Mansar_Mine_ext_2,21.42009,79.22847,1
bg_435,21.46228,80.49478,0
bg_79,21.3677,79.90634,0
bg_192,20.52271,80.38012,0
bg_26,20.561,79.56416,0
bg_353,21.05376,78.75409,0
bg_27,20.5747,79.19317,0
bg_250,20.59044,79.164,0
bg_224,22.40082,78.77083,0
bg_3,21.90497,80.71956,0
bg_325,20.80381,79.22517,0
Sukli_Deposit,21.72,79.85,1
bg_23,21.58529,80.37818,0
bg_123,20.85488,79.33351,0
bg_210,21.5554,79.47799,0
Sukli_Deposit_ext_1,21.70246,79.86417,1
bg_356,20.86904,79.18151,0
bg_178,21.24854,80.40951,0
bg_303,21.37495,79.80627,0
bg_2,21.89403,80.41042,0
bg_64,21.3392,80.15608,0
bg_83,20.59061,79.79981,0
bg_130,21.18161,78.84192,0
bg_248,22.36546,79.0643,0
bg_291,21.30697,80.0152,0
bg_322,20.65173,79.28171,0
bg_241,20.82523,79.38122,0
bg_357,20.9187,79.0373,0
bg_221,22.30232,79.12631,0
bg_5,21.08718,80.181,0
bg_244,22.3996,78.88245,0
bg_107,20.53644,78.51065,0
bg_385,21.49688,79.30529,0
bg_103,22.3107,79.41771,0
bg_9,22.32648,80.20458,0
bg_387,21.57421,80.72894,0
bg_226,21.41131,79.13033,0
bg_275,20.75832,80.38394,0
bg_336,20.83787,80.51181,0
bg_228,21.05476,79.99827,0
bg_308,21.29309,80.62611,0
bg_258,22.43983,80.18492,0
bg_179,21.24128,79.41352,0
bg_446,22.02046,80.39938,0
bg_379,21.15499,79.67918,0
bg_312,20.79415,80.4827,0
Barabil_Mine_ext_4,22.12852,85.39869,1
bg_59,21.05987,79.41376,0
bg_251,20.55273,79.31805,0
bg_287,22.20436,79.74637,0
bg_277,21.71235,80.0978,0
bg_200,22.42435,79.76971,0
bg_31,21.54449,80.56902,0
bg_313,22.35318,80.44246,0
bg_117,21.89347,79.54061,0
bg_191,21.48525,80.55314,0
bg_255,20.80083,79.59492,0
bg_44,22.09037,80.55595,0
bg_203,22.2372,80.68144,0
bg_16,22.28001,78.87781,0
bg_78,20.8464,79.66354,0
bg_301,21.67984,80.62807,0
bg_142,21.2784,78.58406,0
bg_116,20.73633,79.01659,0
Sandur_Mine_ext_1,15.07196,76.56542,1
bg_0,22.25475,79.3024,0
bg_429,20.98482,79.80118,0
bg_108,20.68889,79.26705,0
bg_416,22.13414,80.16387,0
bg_302,21.28449,78.91532,0
bg_234,22.44879,80.50995,0
bg_7,22.12023,78.91684,0
bg_438,21.17321,80.10418,0
bg_169,20.70225,78.73945,0
bg_402,20.99192,78.71042,0
bg_377,21.14416,79.99419,0
Keonjhar_Deposit_ext_5,21.62524,85.62896,1
bg_327,21.78175,80.31866,0
bg_428,21.51522,80.05944,0
bg_13,21.79993,80.32911,0
bg_395,21.64156,78.85396,0
Kandri_Mine_ext_2,21.37936,79.34816,1
bg_49,22.4253,80.21108,0
Sitapatore_Mine_ext_5,21.52464,79.71866,1
bg_167,22.02302,80.04535,0
Gowari_Wadhona_ext_1,21.58409,79.04353,1
bg_126,22.48101,78.53012,0
bg_67,22.01569,79.74827,0
bg_368,21.52335,79.46044,0
bg_39,21.77486,79.27028,0
Ukwa_Mine,21.93,80.52,1
Chikla_Mine_ext_5,21.30596,79.67756,1
Dongri_Buzurg_ext_4,20.98171,79.35903,1
bg_50,22.17196,78.57712,0
bg_22,21.4312,79.40262,0
bg_360,21.73651,80.77176,0
bg_290,22.25331,80.35509,0
bg_105,20.63872,79.27095,0
bg_388,21.67368,80.53271,0
Miragpur_Deposit_ext_5,21.65856,79.81182,1
Gumgaon_Mine_ext_3,21.31545,79.02097,1
bg_124,22.00123,79.83535,0
bg_329,21.19133,79.93955,0
bg_238,21.11906,78.90335,0
bg_338,20.85402,80.65986,0
bg_58,21.82039,78.79322,0
bg_351,22.34174,80.19644,0
Mansar_Mine_ext_5,21.44651,79.23839,1
bg_403,20.82136,80.51816,0
bg_423,21.05996,79.63884,0
bg_87,22.21298,78.85084,0
bg_279,21.8434,79.85753,0
bg_166,20.78598,79.03147,0
bg_245,21.95144,80.19748,0
bg_284,21.54062,80.68555,0
bg_138,21.5105,78.98278,0
bg_378,20.9229,79.89779,0
Balaghat_Mine_ext_4,21.85843,80.20381,1
bg_140,21.1401,78.97182,0
bg_412,20.72408,78.70007,0
Sukli_Deposit_ext_4,21.7348,79.88414,1
bg_110,20.64238,79.73601,0
bg_394,21.79183,80.10085,0
bg_96,21.27634,80.76513,0
bg_389,21.99088,80.63383,0
bg_51,21.89195,79.81075,0
Sukli_Deposit_ext_2,21.74085,79.83523,1
bg_177,22.47328,80.4681,0
bg_98,21.41651,78.78672,0
Sitapatore_Mine_ext_1,21.49452,79.71243,1
bg_293,20.55757,80.45315,0
Kandri_Mine_ext_5,21.38165,79.28422,1
Chikla_Mine_ext_2,21.28782,79.67101,1
bg_304,22.30832,80.60562,0
bg_151,21.39689,79.78717,0
bg_213,21.60771,79.74576,0
bg_81,21.7317,80.50588,0
bg_14,21.90393,78.96374,0
Dongri_Buzurg_ext_3,20.96339,79.32704,1
bg_367,22.29041,78.70565,0
bg_114,22.12894,80.19625,0
bg_144,22.31076,79.79913,0
bg_265,22.22944,79.87274,0
bg_173,22.14372,79.04782,0
bg_305,21.19651,78.57808,0
bg_42,21.5326,79.92617,0
bg_278,20.95729,79.12593,0
bg_392,21.06755,79.41136,0
bg_18,21.25117,80.02995,0
Sitapatore_Mine_ext_2,21.51383,79.70556,1
bg_15,22.09159,78.87641,0
bg_8,22.23414,78.65294,0
bg_431,21.72124,80.52085,0
Bharweli_Mine_ext_2,21.86436,80.22556,1
bg_212,20.64759,79.11796,0
bg_230,21.4274,78.97477,0
Sitapatore_Mine_ext_4,21.55395,79.72314,1
bg_185,20.667,78.69667,0
Ukwa_Mine_ext_2,21.93122,80.49435,1
bg_36,20.60336,78.76887,0
Mansar_Mine_ext_4,21.4387,79.26806,1
bg_266,22.1258,79.26876,0
bg_68,20.52879,79.07914,0
bg_381,22.28105,78.90601,0
bg_99,21.59123,80.61794,0
bg_296,21.90816,79.00878,0
bg_163,22.27541,80.01553,0
Gumgaon_Mine_ext_4,21.34648,79.03592,1
bg_400,20.70356,79.86376,0
bg_223,21.06193,80.60289,0
bg_120,21.97014,79.64625,0
bg_88,21.81739,79.82546,0
bg_94,22.38046,79.53693,0
bg_180,22.1256,80.0366,0
bg_415,22.23101,79.09743,0
bg_135,22.00909,79.86939,0
bg_439,20.76883,80.06432,0
bg_350,22.24716,79.46912,0
bg_344,21.50683,79.60371,0
bg_445,21.86301,78.56727,0
bg_188,21.34844,78.9173,0
bg_237,21.57219,80.02958,0
bg_153,21.15733,78.91843,0
bg_372,21.56523,79.91085,0
bg_333,20.84464,78.55612,0
bg_82,21.77019,80.64387,0
bg_41,22.4517,80.32626,0
Kandri_Mine_ext_1,21.38651,79.34768,1
bg_100,22.38293,80.50076,0
bg_288,21.60381,80.50778,0
bg_71,20.58146,80.58944,0
bg_365,21.00487,80.68491,0
bg_195,20.73764,79.37329,0
bg_143,20.52168,79.58575,0
Keonjhar_Deposit_ext_3,21.63498,85.59489,1
Gumgaon_Mine_ext_5,21.32046,79.03924,1
bg_276,22.4081,80.33866,0
Balaghat_Mine_ext_1,21.83894,80.18751,1
bg_407,22.29353,80.698,0
bg_246,21.72683,78.69044,0
Gumgaon_Mine_ext_1,21.32605,79.03643,1
bg_306,21.52798,80.10407,0
Linga_Deposit_ext_2,21.93088,78.90852,1
bg_86,21.50627,80.12665,0
Chikla_Mine_ext_4,21.28489,79.65443,1
bg_318,21.48524,79.02902,0
bg_147,22.40012,79.54256,0
bg_315,21.01649,80.40651,0
bg_343,21.22854,79.42444,0
bg_331,21.44792,79.91649,0
bg_253,22.12111,79.18338,0
Miragpur_Deposit_ext_1,21.68451,79.80624,1
bg_225,22.28053,79.82599,0
bg_231,21.2067,78.52529,0
bg_125,22.11367,79.95421,0
Ukwa_Mine_ext_1,21.95638,80.51594,1
bg_201,21.24974,79.50309,0
bg_274,21.40109,79.06672,0
bg_157,22.07924,79.12271,0
bg_46,21.37794,78.84885,0
bg_442,21.14471,78.86479,0
bg_373,20.98494,78.88418,0
bg_433,21.66248,80.01444,0
bg_393,21.22616,80.24395,0
bg_127,21.32524,80.02614,0
bg_70,20.59201,78.91767,0
bg_364,20.57337,79.00198,0
bg_399,20.97445,79.73504,0
Beldongri_Mine_ext_4,21.16533,79.1847,1
bg_363,21.99494,80.06319,0
bg_136,20.70625,78.65428,0
Tirodi_Mine_ext_3,22.17481,79.65802,1
bg_199,21.66674,79.44165,0
bg_348,21.7558,80.26703,0
bg_40,21.95218,78.82033,0
bg_160,20.61512,78.55839,0
bg_72,22.21092,79.8418,0
bg_272,22.19929,80.08333,0
bg_300,21.20118,80.12282,0
bg_380,20.73952,79.03054,0
bg_229,20.87624,80.40841,0
bg_194,20.61261,79.09667,0
bg_10,21.52268,79.82129,0
Sukli_Deposit_ext_3,21.73734,79.85743,1
bg_259,22.18424,78.99436,0
Gowari_Wadhona_ext_3,21.58468,79.03407,1
bg_347,22.09882,80.76339,0
bg_216,21.7588,78.82052,0
bg_97,21.78658,80.42947,0
bg_355,21.99652,79.16065,0
bg_1,21.98154,80.63792,0
Tirodi_Mine_ext_2,22.15976,79.66096,1
Ramtek_Mine_ext_5,21.42057,79.34353,1
Keonjhar_Deposit_ext_4,21.63023,85.60616,1
bg_154,21.84504,80.48211,0
bg_323,20.75776,80.16696,0
Keonjhar_Deposit,21.63,85.58,1
